latitude,longitude,is_green
32.892,-117.257,1
32.892,-117.249198,1
32.892,-117.245927,1
32.892,-117.228977,1
32.891988,-117.249863,1
32.891988,-117.246861,1
32.891988,-117.233565,1
32.891977,-117.254579,1
32.891977,-117.247187,1
32.891977,-117.237417,1
32.891965,-117.255046,1
32.891965,-117.247499,1
32.891965,-117.243166,1
32.891953,-117.256108,1
32.891953,-117.247881,1
32.891953,-117.243661,1
32.891941,-117.256207,1
32.891941,-117.247938,1
32.891941,-117.243859,1
32.89193,-117.256264,1
32.89193,-117.248008,1
32.89193,-117.243689,1
32.891918,-117.255825,1
32.891918,-117.247583,1
32.891918,-117.243279,1
32.891906,-117.254621,1
32.891906,-117.246904,1
32.891906,-117.234046,1
32.891895,-117.249368,1
32.891895,-117.24638,1
32.891883,-117.256972,1
32.891883,-117.248886,1
32.891883,-117.244624,1
32.891871,-117.256434,1
32.891871,-117.248362,1
32.891871,-117.244143,1
32.891859,-117.25598,1
32.891859,-117.24798,1
32.891859,-117.243831,1
32.891848,-117.255131,1
32.891848,-117.247768,1
32.891848,-117.243661,1
32.891836,-117.255131,1
32.891836,-117.247838,1
32.891836,-117.243718,1
32.891824,-117.255159,1
32.891824,-117.247881,1
32.891824,-117.243774,1
32.891812,-117.255173,1
32.891812,-117.24798,1
32.891812,-117.243874,1
32.891801,-117.255796,1
32.891801,-117.248051,1
32.891801,-117.243888,1
32.891789,-117.255754,1
32.891789,-117.248022,1
32.891789,-117.243817,1
32.891777,-117.255853,1
32.891777,-117.248178,1
32.891777,-117.243973,1
32.891766,-117.256391,1
32.891766,-117.248759,1
32.891766,-117.244582,1
32.891754,-117.256816,1
32.891754,-117.249155,1
32.891754,-117.245176,1
32.891754,-117.228481,1
32.891742,-117.249623,1
32.891742,-117.246323,1
32.891742,-117.233324,1
32.89173,-117.251492,1
32.89173,-117.24689,1
32.89173,-117.236015,1
32.891719,-117.255046,1
32.891719,-117.248107,1
32.891719,-117.244171,1
32.891707,-117.256802,1
32.891707,-117.249354,1
32.891707,-117.246097,1
32.891707,-117.234372,1
32.891695,-117.254437,1
32.891695,-117.247768,1
32.891695,-117.243987,1
32.891684,-117.256703,1
32.891684,-117.249297,1
32.891684,-117.246012,1
32.891684,-117.234245,1
32.891672,-117.254833,1
32.891672,-117.247725,1
32.891672,-117.2441,1
32.89166,-117.256745,1
32.89166,-117.248915,1
32.89166,-117.245672,1
32.89166,-117.231568,1
32.891648,-117.254295,1
32.891648,-117.247343,1
32.891648,-117.243859,1
32.891637,-117.256646,1
32.891637,-117.248929,1
32.891637,-117.245799,1
32.891637,-117.233282,1
32.891625,-117.254281,1
32.891625,-117.2473,1
32.891625,-117.243859,1
32.891613,-117.256802,1
32.891613,-117.248943,1
32.891613,-117.245955,1
32.891613,-117.234259,1
32.891602,-117.254989,1
32.891602,-117.247768,1
32.891602,-117.244426,1
32.891602,-117.228581,1
32.89159,-117.249523,1
32.89159,-117.246437,1
32.89159,-117.241296,1
32.891578,-117.256405,1
32.891578,-117.248292,1
32.891578,-117.24512,1
32.891578,-117.230662,1
32.891566,-117.249991,1
32.891566,-117.246691,1
32.891566,-117.243307,1
32.891555,-117.256858,1
32.891555,-117.248617,1
32.891555,-117.245629,1
32.891555,-117.233976,1
32.891543,-117.255881,1
32.891543,-117.247654,1
32.891543,-117.244143,1
32.891543,-117.229289,1
32.891531,-117.249509,1
32.891531,-117.246536,1
32.891531,-117.243095,1
32.89152,-117.256759,1
32.89152,-117.248546,1
32.89152,-117.24553,1
32.89152,-117.233735,1
32.891508,-117.255032,1
32.891508,-117.24747,1
32.891508,-117.243958,1
32.891508,-117.228736,1
32.891496,-117.249283,1
32.891496,-117.246323,1
32.891496,-117.235816,1
32.891484,-117.256122,1
32.891484,-117.247938,1
32.891484,-117.244808,1
32.891484,-117.229713,1
32.891473,-117.249637,1
32.891473,-117.246663,1
32.891473,-117.24325,1
32.891461,-117.256434,1
32.891461,-117.248065,1
32.891461,-117.244907,1
32.891461,-117.22977,1
32.891449,-117.249481,1
32.891449,-117.246564,1
32.891449,-117.243222,1
32.891438,-117.256363,1
32.891438,-117.247895,1
32.891438,-117.244851,1
32.891438,-117.229784,1
